Trial,Reward,Strategy
0,0,EpsilonGreedy
1,0,EpsilonGreedy
2,0,EpsilonGreedy
3,0,EpsilonGreedy
4,0,EpsilonGreedy
5,0,EpsilonGreedy
6,0,EpsilonGreedy
7,0,EpsilonGreedy
8,0,EpsilonGreedy
9,0,EpsilonGreedy
10,0,EpsilonGreedy
11,0,EpsilonGreedy
12,0,EpsilonGreedy
13,0,EpsilonGreedy
14,0,EpsilonGreedy
15,0,EpsilonGreedy
16,0,EpsilonGreedy
17,0,EpsilonGreedy
18,0,EpsilonGreedy
19,0,EpsilonGreedy
20,1,EpsilonGreedy
21,0,EpsilonGreedy
22,0,EpsilonGreedy
23,0,EpsilonGreedy
24,0,EpsilonGreedy
25,0,EpsilonGreedy
26,0,EpsilonGreedy
27,0,EpsilonGreedy
28,0,EpsilonGreedy
29,0,EpsilonGreedy
30,0,EpsilonGreedy
31,0,EpsilonGreedy
32,0,EpsilonGreedy
33,1,EpsilonGreedy
34,0,EpsilonGreedy
35,0,EpsilonGreedy
36,0,EpsilonGreedy
37,0,EpsilonGreedy
38,0,EpsilonGreedy
39,0,EpsilonGreedy
40,0,EpsilonGreedy
41,0,EpsilonGreedy
42,1,EpsilonGreedy
43,0,EpsilonGreedy
44,0,EpsilonGreedy
45,0,EpsilonGreedy
46,0,EpsilonGreedy
47,1,EpsilonGreedy
48,0,EpsilonGreedy
49,0,EpsilonGreedy
50,1,EpsilonGreedy
51,0,EpsilonGreedy
52,0,EpsilonGreedy
53,1,EpsilonGreedy
54,1,EpsilonGreedy
55,1,EpsilonGreedy
56,0,EpsilonGreedy
57,0,EpsilonGreedy
58,0,EpsilonGreedy
59,1,EpsilonGreedy
60,0,EpsilonGreedy
61,0,EpsilonGreedy
62,1,EpsilonGreedy
63,0,EpsilonGreedy
64,0,EpsilonGreedy
65,0,EpsilonGreedy
66,0,EpsilonGreedy
67,0,EpsilonGreedy
68,0,EpsilonGreedy
69,0,EpsilonGreedy
70,0,EpsilonGreedy
71,0,EpsilonGreedy
72,1,EpsilonGreedy
73,0,EpsilonGreedy
74,0,EpsilonGreedy
75,0,EpsilonGreedy
76,1,EpsilonGreedy
77,1,EpsilonGreedy
78,0,EpsilonGreedy
79,0,EpsilonGreedy
80,0,EpsilonGreedy
81,0,EpsilonGreedy
82,0,EpsilonGreedy
83,1,EpsilonGreedy
84,0,EpsilonGreedy
85,0,EpsilonGreedy
86,0,EpsilonGreedy
87,0,EpsilonGreedy
88,1,EpsilonGreedy
89,0,EpsilonGreedy
90,1,EpsilonGreedy
91,1,EpsilonGreedy
92,0,EpsilonGreedy
93,1,EpsilonGreedy
94,0,EpsilonGreedy
95,0,EpsilonGreedy
96,1,EpsilonGreedy
97,1,EpsilonGreedy
98,0,EpsilonGreedy
99,0,EpsilonGreedy
100,0,EpsilonGreedy
101,0,EpsilonGreedy
102,0,EpsilonGreedy
103,0,EpsilonGreedy
104,0,EpsilonGreedy
105,0,EpsilonGreedy
106,1,EpsilonGreedy
107,1,EpsilonGreedy
108,0,EpsilonGreedy
109,0,EpsilonGreedy
110,0,EpsilonGreedy
111,0,EpsilonGreedy
112,0,EpsilonGreedy
113,0,EpsilonGreedy
114,1,EpsilonGreedy
115,0,EpsilonGreedy
116,0,EpsilonGreedy
117,0,EpsilonGreedy
118,0,EpsilonGreedy
119,0,EpsilonGreedy
120,0,EpsilonGreedy
121,1,EpsilonGreedy
122,1,EpsilonGreedy
123,0,EpsilonGreedy
124,0,EpsilonGreedy
125,1,EpsilonGreedy
126,0,EpsilonGreedy
127,1,EpsilonGreedy
128,1,EpsilonGreedy
129,1,EpsilonGreedy
130,0,EpsilonGreedy
131,0,EpsilonGreedy
132,1,EpsilonGreedy
